date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:13	211099/211099	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2006:51:25%20GMT	http://genknews.genkcdn.vn/2017/4-copy-1483253477970.jpg	E:/web-githubs/web-ban-dong-gia-dung/genknews.genkcdn.vn/2017/4-copy-1483253477970.jpg	(from http://demo3.skyvietnam.vn/M001/den-suoi-nha-tam-hang-chau-au-gia-re-hon-hang-chau-a-nguyen-nhan-do-dau)
09:21:14	255452/255452	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20Jul%202019%2000:40:25%20GMT	http://genknews.genkcdn.vn/2017/5-copy-1483253461333.jpg	E:/web-githubs/web-ban-dong-gia-dung/genknews.genkcdn.vn/2017/5-copy-1483253461333.jpg	(from http://demo3.skyvietnam.vn/M001/den-suoi-nha-tam-hang-chau-au-gia-re-hon-hang-chau-a-nguyen-nhan-do-dau)
09:21:35	281780/281780	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2006:51:58%20GMT	http://genknews.genkcdn.vn/2017/5a-copy-1483253510307.jpg	E:/web-githubs/web-ban-dong-gia-dung/genknews.genkcdn.vn/2017/5a-copy-1483253510307.jpg	(from http://demo3.skyvietnam.vn/M001/den-suoi-nha-tam-hang-chau-au-gia-re-hon-hang-chau-a-nguyen-nhan-do-dau)
09:21:55	313593/313593	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2006:52:17%20GMT	http://genknews.genkcdn.vn/2017/6-copy-1483253535208.jpg	E:/web-githubs/web-ban-dong-gia-dung/genknews.genkcdn.vn/2017/6-copy-1483253535208.jpg	(from http://demo3.skyvietnam.vn/M001/den-suoi-nha-tam-hang-chau-au-gia-re-hon-hang-chau-a-nguyen-nhan-do-dau)
09:21:58	72654/72654	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202019%2002:20:47%20GMT	http://demo3.skyvietnam.vn/M001/tranh-theu-voi-van-hoa-trong-dong	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/tranh-theu-voi-van-hoa-trong-dong.html	(from http://demo3.skyvietnam.vn/M001/den-suoi-nha-tam-hang-chau-au-gia-re-hon-hang-chau-a-nguyen-nhan-do-dau)
09:22:00	72568/72568	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202019%2002:20:50%20GMT	http://demo3.skyvietnam.vn/M001/tranh-gan-da-phu-the-vien-man-bi-quyet-giu-lua-hanh-phuc-gia-dinh	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/tranh-gan-da-phu-the-vien-man-bi-quyet-giu-lua-hanh-phuc-gia-dinh.html	(from http://demo3.skyvietnam.vn/M001/den-suoi-nha-tam-hang-chau-au-gia-re-hon-hang-chau-a-nguyen-nhan-do-dau)
09:22:01	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.e7.delayed	(from http://demo3.skyvietnam.vn/M001/den-suoi-nha-tam-hang-chau-au-gia-re-hon-hang-chau-a-nguyen-nhan-do-dau)
09:22:01	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.e8.delayed	(from http://demo3.skyvietnam.vn/M001/thong-diep-qua-tung-buc-tranh-theu)
09:22:01	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.e9.delayed	(from http://demo3.skyvietnam.vn/M001/thong-diep-qua-tung-buc-tranh-theu)
09:22:01	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.ea.delayed	(from http://demo3.skyvietnam.vn/M001/cach-lam-tranh-gan-da-voi-3-buoc-don-gian)
09:22:01	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.eb.delayed	(from http://demo3.skyvietnam.vn/M001/cach-lam-tranh-gan-da-voi-3-buoc-don-gian)
09:22:01	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.ec.delayed	(from http://demo3.skyvietnam.vn/M001/n)
09:22:01	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.ed.delayed	(from http://demo3.skyvietnam.vn/M001/n)
09:22:01	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.ee.delayed	(from http://demo3.skyvietnam.vn/M001/gioi-thieu)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.ef.delayed	(from http://demo3.skyvietnam.vn/M001/gioi-thieu)
